course_number,organ_system,disease_name,pinyin,sub_patterns,source_file
1,Spleen and Stomach Disorders,Abdominal Mass / Ji Ju,ji ju,Qi mass: Liver Qi stagnation; Qi mass: retention of food and phlegm; Blood mass: stagnation of Qi and Blood; Blood mass: Blood stasis knotted in the interior; Blood mass: deficiency of upright Qi with Blood stasis,"LEC 01 Abdominal mass, abdominal pain, atrophy.pdf"
2,Spleen and Stomach Disorders,Abdominal Pain,fu tong,Cold in the intestines; Damp-Heat in the intestines; Food retention; Qi stagnation; Blood stasis; Qi deficiency with empty-cold in the abdomen,"LEC 01 Abdominal mass, abdominal pain, atrophy.pdf"
3,Channel and Body Disorders,Atrophy-Flaccidity,wei zheng,Heat in Lungs injuring Yin fluids; Damp-Heat invasion; Cold-Damp invasion; Stomach and Spleen deficiency; Spleen and Heart collapse; Kidney and Liver deficiency; Blood stasis in the channels,"LEC 01 Abdominal mass, abdominal pain, atrophy.pdf"
4,"Qi, Blood, and Fluid Disorders",Bleeding Disorders,xue zheng,Epistaxis: Lung Heat; Stomach Heat; Liver Fire; Liver-Kidney Yin deficiency; Spleen Qi failing to control Blood. Coughing blood: Wind-Dry Heat; Liver Fire invading Lung; Lung Yin deficiency with empty Heat. Vomiting blood: Stomach Heat; Liver Fire invading Stomach; Spleen-Stomach Qi deficiency. Blood in stool: Damp-Heat in intestines; Spleen-Stomach deficient Cold. Blood in urine: Bladder Heat/Heart Fire; Kidney Yin deficiency with empty Heat; Spleen failing to control Blood; Kidney Qi not firm. Petechiae: Blood Heat; Yin deficiency with empty Heat; Qi deficiency not holding Blood. Bleeding gums: Stomach Heat; Stomach Yin deficiency with empty Heat; Stomach-Spleen deficiency,"LEC 02 Bleeding, chest Bi, Common cold.pdf"
5,Heart and Mind Disorders,Chest Impediment,xiong bi,Stagnation of Qi in the chest; Heart Blood stasis; Turbid phlegm stagnating in the chest; Cold stagnation in the chest; Heart-Kidney Yin deficiency; Qi and Yin deficiency; Spleen-Kidney Yang Qi deficiency,"LEC 02 Bleeding, chest Bi, Common cold.pdf"
6,Lung System Disorders,Common Cold,gan mao,Wind-Cold invasion; Wind-Heat invasion; Summer-Heat Damp invasion; Cold with underlying Qi deficiency; Cold with underlying Yin deficiency,"LEC 02 Bleeding, chest Bi, Common cold.pdf"
7,Spleen and Stomach Disorders,Constipation,bian bi,Chronic interior Heat; Acute Heat in febrile disease; Liver Qi stagnation; Cold; Qi deficiency; Yang deficiency; Blood deficiency; Yin deficiency,"LEC 03 constipation, consumptive ds, consumptive thirst.pdf"
8,"Qi, Blood, and Fluid Disorders",Consumptive Disease,xu lao,Qi deficiency; Blood deficiency; Yin deficiency; Yang deficiency,"LEC 03 constipation, consumptive ds, consumptive thirst.pdf"
9,Spleen and Stomach Disorders,Consumptive Thirst / Xiao Ke,xiao ke,Upper Xiao: Lung Heat damaging fluids; Middle Xiao: excessive Stomach Heat; Lower Xiao: Kidney Yin deficiency,"LEC 03 constipation, consumptive ds, consumptive thirst.pdf"
10,Heart and Mind Disorders,Convulsive Syndromes,jing zheng,Obstruction of channels and collaterals by evils; Liver Wind stirring from exuberant Heat; Depletion of Yin and Blood,"LEC 04 Convulsion, cough, depression.pdf"
11,Lung System Disorders,Cough,ke shou,Wind-Cold invading Lung; Wind-Heat invading Lung; Wind-Dryness invading Lung; Phlegm-Heat retention in Lung; Phlegm-Damp retention in Lung; Phlegm-Fluid retention in Lung; Lung Heat; Lung Qi deficiency; Lung Yin deficiency; Liver Fire attacking Lung,"LEC 04 Convulsion, cough, depression.pdf"
12,Heart and Mind Disorders,Depression,yu zheng,Liver Qi stagnation; Static Qi transforming into Fire; Static Qi and Phlegm obstruction; Yin and Blood deficiency,"LEC 04 Convulsion, cough, depression.pdf"
13,Spleen and Stomach Disorders,Diarrhea,xie xie,Cold-Damp retention; Damp-Heat retention; Food retention; Liver Qi stagnation; Spleen-Stomach deficiency; Kidney Yang deficiency,"LEC 05 Diarrhea, drum distension, dysentery.pdf"
14,Spleen and Stomach Disorders,Drum Distension,gu zhang,Qi stagnation with Damp obstruction; Cold-Damp blocking Spleen; Damp-Heat accumulation; Spleen Qi stagnation with Liver Blood stasis; Spleen-Kidney Yang deficiency; Liver-Kidney Yin deficiency,"LEC 05 Diarrhea, drum distension, dysentery.pdf"
15,Spleen and Stomach Disorders,Dysentery,li ji,Damp-Heat dysentery; Epidemic toxic dysentery; Cold-Damp dysentery; Yin deficiency dysentery; Deficient Cold dysentery; Intermittent dysentery; Food-resistant dysentery,"LEC 05 Diarrhea, drum distension, dysentery.pdf"
